id,name,surname,login,password,phoneNumber
50,NORMAL,fpeizbpFtn,35,34,PBLLgPdTxE,GLASS_PROTECTION,78,96
51,BATTERY_LOW,YxywVRvZmz,85,98,yeEfvlvlIm,MOTION_PROTECTION,58,8
52,NORMAL,zwNoavEtUN,25,12,XbwJxPbBwo,GLASS_PROTECTION,52,48
53,ALARM_STATE,MDGjnviDSs,27,22,EqCmHxUuxC,LEAKS_PROTECTION,18,69
54,NORMAL,NHTZFxPxGH,3,10,zHNMYyNcEU,GLASS_PROTECTION,8,68
55,BATTERY_LOW,MaAaJJJSBi,61,54,NKOmlorIRV,LEAKS_PROTECTION,49,13
56,NORMAL,UNyFBGvdFr,44,17,iosjKcWfIJ,MOTION_PROTECTION,38,52
57,ALARM_STATE,ttFfcKvRKx,70,40,SijJZxRQyO,LEAKS_PROTECTION,23,7
58,ALARM_STATE,tDOMYqAzfJ,75,30,VaTNNiOVuK,MOTION_PROTECTION,16,72
59,NORMAL,ILCJuxqqFL,45,41,OWXscRPivN,FIRE_PROTECTION,97,0
60,ALARM_STATE,abnKUHGdss,3,81,PsPcYQRFep,MOTION_PROTECTION,25,94
61,NORMAL,uVXmbceQaA,72,2,aCjyUGarbF,GLASS_PROTECTION,66,53
62,NORMAL,iOWKblkjUa,82,97,IASMoPqUzK,MOTION_PROTECTION,26,59
63,NORMAL,NMFvLSvVyr,14,26,QkntyRkRmH,FIRE_PROTECTION,40,18
64,ALARM_STATE,AuQvQWuFxH,88,70,TbnOxuNGVf,MOTION_PROTECTION,86,43
65,BATTERY_LOW,KuVfYNcKIU,61,60,LqdQzOrDTe,MOTION_PROTECTION,43,1
66,ALARM_STATE,wEpYDYYCnm,2,5,WnUTvHCpiw,LEAKS_PROTECTION,79,33
67,ALARM_STATE,WozIhiobkB,90,81,aKlegXMkLF,GLASS_PROTECTION,7,48
68,BATTERY_LOW,gNsNpBVldC,48,36,LUxXnYYOZu,GLASS_PROTECTION,30,56
69,BATTERY_LOW,nEKZPgSsMW,94,99,wxHJgiJnBZ,GLASS_PROTECTION,47,32
70,ALARM_STATE,UjpYGuIHRC,92,34,DdKFdwdYTR,MOTION_PROTECTION,73,81
71,BATTERY_LOW,VZtiSrJiod,93,34,UWCxiDaRpE,LEAKS_PROTECTION,50,49
72,ALARM_STATE,FugbcCJKhr,98,25,JTfSdqcZdA,FIRE_PROTECTION,20,29
73,NORMAL,WoEGyYEMRS,17,97,mqrUwAskVP,FIRE_PROTECTION,26,83
74,NORMAL,yIjxkeziMn,58,99,GYHoeHIoCy,FIRE_PROTECTION,49,42
75,NORMAL,ikuDRopGVP,44,90,WfDLqoqTkM,FIRE_PROTECTION,0,63
76,NORMAL,HPlhSxxefc,85,83,bTcFmvtzjd,GLASS_PROTECTION,57,66
77,ALARM_STATE,IgOhiQIGBh,15,40,MxmaRHVMwD,FIRE_PROTECTION,90,95
78,ALARM_STATE,deXMpbONBa,35,49,QXBlWhGFDO,LEAKS_PROTECTION,92,41
79,NORMAL,kvTINBCXwx,5,57,BWCmtSGYCu,LEAKS_PROTECTION,16,47
80,BATTERY_LOW,HyVmCUoSTg,64,58,sCDBQIyWXk,FIRE_PROTECTION,61,33
81,ALARM_STATE,PSwewXQnfi,36,99,hJRDcVFIlp,GLASS_PROTECTION,30,29
82,NORMAL,YMmqWFdxNg,91,98,cTQwjODUMq,GLASS_PROTECTION,27,11
83,NORMAL,jqQESOfPwm,7,3,uZsRJCLnCj,MOTION_PROTECTION,52,24
84,ALARM_STATE,uenVgnQzbH,69,4,mgGHbKzgvk,MOTION_PROTECTION,76,96
85,BATTERY_LOW,OqYeTMMyEc,64,89,OkZNgXZQtb,LEAKS_PROTECTION,45,13
86,NORMAL,FjPRSaHXbG,24,24,XJDCRGchgl,FIRE_PROTECTION,47,94
87,NORMAL,QMyacGUyIJ,5,0,xWXupgEBMO,MOTION_PROTECTION,21,87
88,NORMAL,MBEOzKjCws,52,56,ZZnqOFQZbD,LEAKS_PROTECTION,94,42
89,BATTERY_LOW,IXuxBXhfWR,59,38,oqojhmJZkJ,MOTION_PROTECTION,97,14
90,BATTERY_LOW,EQndYgtFRc,16,68,eZWIbNqwWP,GLASS_PROTECTION,99,15
91,ALARM_STATE,ulkXCOOppw,22,37,XeVPGJCNFv,MOTION_PROTECTION,77,75
92,BATTERY_LOW,pjdLYqwWcr,91,48,LKaLuLtqZY,FIRE_PROTECTION,24,69
93,ALARM_STATE,bzIaeTEoRn,8,44,njGjAGPfij,GLASS_PROTECTION,21,26
94,NORMAL,QrVlQxxdEZ,67,60,XaJZEHeOju,GLASS_PROTECTION,49,67
95,ALARM_STATE,OOGCUSBfFT,1,0,IRPbEqjxrc,MOTION_PROTECTION,6,80
96,BATTERY_LOW,yYIFDODNMp,87,52,AgGNIVeVPc,MOTION_PROTECTION,53,59
97,BATTERY_LOW,rZLHwZVTAd,4,23,xvZPWBtxhg,LEAKS_PROTECTION,84,73
98,BATTERY_LOW,RuoVxuARXK,42,66,PUxCOuLDcC,LEAKS_PROTECTION,53,86
99,NORMAL,NgbuZeFqeV,85,92,MKPxFvpTBO,FIRE_PROTECTION,97,27
100,NORMAL,eFavoNPnVZ,11,85,esDYOphAym,GLASS_PROTECTION,78,64
101,ALARM_STATE,eAwPEiOOPK,35,46,WyPAjqwTWv,GLASS_PROTECTION,16,77
102,ALARM_STATE,AkepqXdeNN,24,60,rZunTXiUuy,LEAKS_PROTECTION,23,38
103,BATTERY_LOW,vcFayCkEwv,61,15,EzPJibcJay,FIRE_PROTECTION,72,43
104,BATTERY_LOW,vALdfiycWe,47,99,LQJNDPVDWJ,LEAKS_PROTECTION,51,21
105,BATTERY_LOW,YUNNkXikgg,64,25,MZoaMrcZjW,FIRE_PROTECTION,97,82
106,NORMAL,ZGYPIsmoIH,23,54,qBKzLpCLsG,FIRE_PROTECTION,76,70
107,ALARM_STATE,OQJFPpRgcy,63,95,GsQgUTzLHF,MOTION_PROTECTION,64,8
108,BATTERY_LOW,JvEZdYoqrX,64,44,CXsKZgyser,GLASS_PROTECTION,44,86
109,NORMAL,fVpfvpRosG,88,42,yEWWfbTPJs,FIRE_PROTECTION,76,62
110,BATTERY_LOW,ZHInAxdqcu,50,40,QfNjAfBOzA,LEAKS_PROTECTION,50,80
111,ALARM_STATE,bOZNGrdZDU,7,83,IcKWyjrqWY,MOTION_PROTECTION,29,62
112,NORMAL,dYmnMBFrIP,21,15,eFCOIrczmY,MOTION_PROTECTION,61,39
113,BATTERY_LOW,VOzQJMgbYD,86,29,UVzklwkfzo,GLASS_PROTECTION,4,4
114,ALARM_STATE,rPQzzAKDli,92,90,ihIpJQLYvv,FIRE_PROTECTION,5,65
115,BATTERY_LOW,qhSzCtRbpc,56,88,cGrNveSviD,FIRE_PROTECTION,26,49
116,BATTERY_LOW,YdimacAHSP,90,2,ewYzNFRqey,FIRE_PROTECTION,87,72
117,BATTERY_LOW,psMtghUYrA,39,44,DoOMvpILSK,MOTION_PROTECTION,77,60
118,BATTERY_LOW,YSZBdHihKr,1,66,MAGmQeGsfy,FIRE_PROTECTION,60,70
119,ALARM_STATE,kAErTrQiCO,32,33,HptJrvVlgZ,GLASS_PROTECTION,70,94
120,NORMAL,IlGQJToksS,94,93,tVLsNuRtOU,LEAKS_PROTECTION,2,52
121,BATTERY_LOW,BiVtYXSveS,69,92,FArJBsJtUX,GLASS_PROTECTION,49,68
122,ALARM_STATE,FJhOOlHbXR,62,30,HbVoJMBoMu,MOTION_PROTECTION,2,77
123,NORMAL,EZaVVdATOi,63,51,wHceQSooyo,GLASS_PROTECTION,50,15
124,NORMAL,HFgUHuEWcp,45,38,zNXalNbNXt,FIRE_PROTECTION,90,60
125,ALARM_STATE,OzUQwqoASx,66,35,jpGRVRxght,GLASS_PROTECTION,94,35
126,ALARM_STATE,qpciiytcqb,65,51,CJrxzFJsGl,MOTION_PROTECTION,18,70
127,BATTERY_LOW,zQfwIbPbum,55,2,sHcdHybfNC,MOTION_PROTECTION,61,17
128,ALARM_STATE,EXIJIHRoEW,49,71,GfBjOuBkVQ,GLASS_PROTECTION,31,60
129,BATTERY_LOW,nxrFePkoGz,41,80,TappXvWqFh,LEAKS_PROTECTION,51,4
130,NORMAL,DUZvpgmQkM,11,48,eonroHIidG,FIRE_PROTECTION,32,81
131,BATTERY_LOW,sfghTEXKrZ,0,70,bsBrlUfoJx,GLASS_PROTECTION,15,7
132,NORMAL,YnLCikVXii,4,16,hsEFHXitIL,LEAKS_PROTECTION,96,73
133,BATTERY_LOW,WWynFAgrzO,30,70,PEjtbNNclv,GLASS_PROTECTION,23,58
134,NORMAL,syiqZZHvMb,68,74,csuNKZQypA,MOTION_PROTECTION,38,9
135,BATTERY_LOW,PBjcBmIMgw,24,8,OaQCtQvdoS,GLASS_PROTECTION,47,67
136,NORMAL,opXbhzZGRW,14,27,fqHNIXZKnE,LEAKS_PROTECTION,60,70
137,NORMAL,gazxwQMElP,29,38,yEuvAXuanv,MOTION_PROTECTION,30,84
138,ALARM_STATE,MCHFlrrQEc,38,74,AlWkxSkCbB,LEAKS_PROTECTION,81,65
139,ALARM_STATE,VfrAwukUES,50,3,NHbrmOflwJ,LEAKS_PROTECTION,89,63
140,ALARM_STATE,oUYAvmuiOx,78,15,PNYbVdbIBh,FIRE_PROTECTION,37,30
141,BATTERY_LOW,qTbEAhzSRG,63,89,oYPvfrruvR,MOTION_PROTECTION,48,13
142,NORMAL,XRduqQgFQv,14,75,BrjoapeceY,MOTION_PROTECTION,49,38
143,BATTERY_LOW,bCkAJiOlLw,81,68,UPSyaYLHWR,MOTION_PROTECTION,77,55
144,ALARM_STATE,iTRmghsmaB,80,69,grDdvqdyAa,LEAKS_PROTECTION,29,54
145,BATTERY_LOW,YBMbdYNJLx,62,76,DJDqgcMIJD,FIRE_PROTECTION,97,48
146,BATTERY_LOW,psgokqoNJH,5,46,zYiebfWffl,FIRE_PROTECTION,53,69
147,ALARM_STATE,RzyJLCANag,33,32,uKZfibyoQa,MOTION_PROTECTION,95,52
148,NORMAL,LIoXHeVLct,15,83,XaTynvvNDu,FIRE_PROTECTION,17,46
149,ALARM_STATE,GtglkqhRwh,39,61,yFIQNFxIsE,LEAKS_PROTECTION,43,95
150,ALARM_STATE,AMNyIRDpBO,95,84,eqDdZEwbAO,MOTION_PROTECTION,57,40
151,BATTERY_LOW,WasYELzYtv,27,73,hgrLLrMYWN,MOTION_PROTECTION,94,34
152,BATTERY_LOW,WdqdlNWfEd,87,4,sQXPINJLqk,MOTION_PROTECTION,53,51
153,NORMAL,NpDLUlnKdR,97,64,KikagAIPhJ,LEAKS_PROTECTION,87,38
154,BATTERY_LOW,mXgbOWwYYo,49,88,DYVzyJoMoc,LEAKS_PROTECTION,55,45
155,NORMAL,HNGNfgteuA,80,93,cSKLiMsUSO,GLASS_PROTECTION,83,8
156,ALARM_STATE,UBqTonxBJy,54,2,XgfWdYSnBA,GLASS_PROTECTION,59,69
157,NORMAL,OmosUpTszO,70,19,ShsZZoyNrJ,FIRE_PROTECTION,77,52
158,BATTERY_LOW,YBcHGnoZRg,47,6,GorgxDpbuY,LEAKS_PROTECTION,59,67
159,ALARM_STATE,ZPsSPpxQBB,85,91,ZBvBGdVLyc,GLASS_PROTECTION,3,75
160,ALARM_STATE,FEpVgFBBIO,46,37,hVOUuYADAM,MOTION_PROTECTION,11,81
161,ALARM_STATE,WDUTUjgQFB,64,30,ltjfsOBRJX,LEAKS_PROTECTION,97,35
162,ALARM_STATE,YjugpkfrmD,81,98,MyfNlJXPij,GLASS_PROTECTION,32,55
163,ALARM_STATE,WvugQCjEJT,47,84,tqezqKMABm,GLASS_PROTECTION,40,25
164,ALARM_STATE,edtAwrbJbs,67,78,ZnFJMSTxcM,LEAKS_PROTECTION,30,86
165,NORMAL,POMnFJQvSK,95,8,VDgzphuoRX,GLASS_PROTECTION,85,75
166,NORMAL,ZJFDSqbgmX,84,36,ipevQZIPth,MOTION_PROTECTION,66,23
167,BATTERY_LOW,ukZqYSvmUs,7,43,yvIhmcUWeb,FIRE_PROTECTION,93,24
168,ALARM_STATE,UJfEcAIEGt,65,53,edBHICRjcm,MOTION_PROTECTION,85,79
169,NORMAL,uZabDcwKie,4,28,RoxkrERcFF,MOTION_PROTECTION,65,34
170,ALARM_STATE,DEZExZOXft,29,74,FrGFgSvNMO,LEAKS_PROTECTION,10,75
171,BATTERY_LOW,AFTNIGOSNp,57,23,ObSlnxKVlm,FIRE_PROTECTION,98,91
172,BATTERY_LOW,KDcecmULMM,22,0,WzSJAwhXeS,LEAKS_PROTECTION,18,22
173,ALARM_STATE,lFRIiVNHQE,51,62,BIzNXnvFjQ,FIRE_PROTECTION,62,16
174,ALARM_STATE,FSnpMYJaKa,79,98,eMIETwATuo,GLASS_PROTECTION,37,71
175,BATTERY_LOW,nhstEXlDDt,75,45,CSqDYainji,MOTION_PROTECTION,50,14
176,ALARM_STATE,vyknYsXoHa,10,62,QDTHnrlAVN,MOTION_PROTECTION,75,97
177,ALARM_STATE,eLNfffiMXz,83,9,DBNdCEUCBr,FIRE_PROTECTION,12,30
178,NORMAL,KeCqdFivFo,63,82,gqAzWGICUR,GLASS_PROTECTION,54,69
179,NORMAL,BYaRozxexg,54,35,ZNumWopwFV,MOTION_PROTECTION,13,57
180,BATTERY_LOW,bGeyxMKNFI,42,37,gCbSueJJFJ,MOTION_PROTECTION,15,31
181,BATTERY_LOW,kKLPybhyDB,48,19,EUrRMxaifM,FIRE_PROTECTION,76,42
182,NORMAL,XupswDqoWd,42,26,iHpiHqSlbq,MOTION_PROTECTION,96,1
183,ALARM_STATE,KWLvYHOfTq,82,8,IGJTfGWNMU,FIRE_PROTECTION,71,48
184,NORMAL,CCUMjqnsog,51,42,VjojBqFeNO,FIRE_PROTECTION,11,6
185,BATTERY_LOW,nxwlpebZQQ,91,16,zXgJEKRxAB,MOTION_PROTECTION,3,12
186,NORMAL,JuLahYBOHh,80,74,eGphqLdABA,GLASS_PROTECTION,73,48
187,ALARM_STATE,qoOHTHRRGO,53,89,IEgvNGpzml,FIRE_PROTECTION,12,71
188,BATTERY_LOW,oOyjfCHYqp,70,68,lePQqgdily,MOTION_PROTECTION,87,50
189,NORMAL,iOQYuDBfUD,35,96,tpXBrSvUDP,LEAKS_PROTECTION,90,41
190,NORMAL,WYLmEcTCWO,26,98,juJqmdvDFg,FIRE_PROTECTION,46,11
191,NORMAL,LzMVeSSjjW,59,6,zzqirvnxhE,LEAKS_PROTECTION,70,50
192,BATTERY_LOW,tgBlowAXGB,29,5,LErLXnNlvQ,FIRE_PROTECTION,39,7
193,NORMAL,gDQyRXaXjY,80,69,tfTFcUchxu,FIRE_PROTECTION,49,70
194,NORMAL,RTgjsLueWO,51,48,npgnMAnSgQ,GLASS_PROTECTION,62,15
195,ALARM_STATE,pNbHEgNmVi,25,92,mOciUYWBsQ,FIRE_PROTECTION,94,29
196,BATTERY_LOW,hucZCRyPiM,86,77,XTdeesOEPl,FIRE_PROTECTION,55,17
197,NORMAL,WAbvcuahfm,38,70,LLCsyCckFU,LEAKS_PROTECTION,85,79
198,BATTERY_LOW,ympVFOVVZy,58,46,xeMQaopcYO,GLASS_PROTECTION,3,96
199,ALARM_STATE,KyDOtJAemI,13,26,HWaxEoRERv,FIRE_PROTECTION,72,87
id,event_log,type,user_id
1,ttgnQutIkEOGHtkyYkYg,GENERAL,1
2,LuRjFfkmhiWaOBjNHgxA,GENERAL,1
3,rYaVRoWxooEfcWsqzyBz,GENERAL,2
4,dLarrBXYvlQxUYOYBnPO,GENERAL,1
5,RCOcpmAJwHDdOZhZbQKn,GENERAL,1
6,GyZurpswQNyGfDMdHIzv,GENERAL,4
7,IXidNWFpjlPAZRWzcamg,GENERAL,1
8,thwYXzWePPmgSvxtugxx,GENERAL,7
9,PWWDGezyTaXUdDgrMrpS,GENERAL,3
10,LnxrKYhKymgnzaKUQOOb,GENERAL,3
11,PXwAYjznHNKZQoZcPPAy,GENERAL,6
12,IUTNNxBqQyRdBMrtQKWP,GENERAL,7
13,NbTimgxXkGuoZYiQfMZl,GENERAL,11
14,cOrxKLFYztCJXyMCFEVH,GENERAL,8
15,sftALNRFSLxCsLIOwKqe,GENERAL,5
16,tjxVGoXaPrBqpumJtbea,GENERAL,2
17,khMfcHQQVdiNUrvKZXbx,GENERAL,1
18,tVwYyElvHoDRMgjdHEFu,GENERAL,5
19,OcfOaIIMIhqqJJeYKooQ,GENERAL,16
20,BmyUktcJGDqwhBnNomtH,GENERAL,3
21,hxdYqIJfCiqvVJCMIvLP,GENERAL,20
22,dmzwLZRgRRMGXyzOzoGA,GENERAL,21
23,pGOPQAQRKEFIfCrkCuwn,GENERAL,21
24,CuJKSYyVppMSyTDqAlKg,GENERAL,20
25,ILdBddOGIQSTgQftqgsy,GENERAL,20
26,srxuYpWlqiYCpoRezPXm,GENERAL,21
27,tTCTxfWDHEsRXuHraKWT,GENERAL,17
28,lUhGDBYOuRVRoQdSDEAX,GENERAL,2
29,SnbduBNuCDZMJdUMCPqt,GENERAL,3
30,BzERxHSefWpWSkubmuXj,GENERAL,26
31,WSmlrwLKISYSKABxjQSS,GENERAL,22
32,DZgFxnEQhbxsaLWoqOFm,GENERAL,6
33,DAFZubqdVBeTDTBLcLTi,GENERAL,9
34,bdSZHyySjfmuDAyYqAZZ,GENERAL,20
35,IXnTrICoYRTwVEXMQjBG,GENERAL,16
36,UNsEZjRGXXHTDGGJgKEZ,GENERAL,20
37,QMimFFpgrcdrfisqLlhJ,GENERAL,22
38,AbWOjVXwSxaeisQdnIwj,GENERAL,14
39,XSfOaKppNEpVgDsHKAxf,GENERAL,19
40,xvHGKPWWeQOytfEWEcDc,GENERAL,26
41,YbatlmtvPHkPyKGfhMAO,GENERAL,39
42,VDWcOMDvdkPtVNRCQQaT,GENERAL,27
43,LqUyKZTHtQNRSvOCtIyq,GENERAL,31
44,iiCxawSlUjXejwNMwbSr,GENERAL,39
45,mOSTnFAkZPZYqGmXmzrv,GENERAL,44
46,ZmTJTodqrxOkoLIbQstH,GENERAL,35
47,pOoFhsZHddBGbuAoSHDH,GENERAL,25
48,XxMvtkOlDtdaCjFMvocK,GENERAL,18
49,VQLOSFHnQUKiZdkVKPzX,GENERAL,47
50,qgthHhfjfQQfyeEfcLwY,GENERAL,37
51,LPVzdfCZDVJVThHktMmo,GENERAL,35
52,gBFiJxEHlbOwuaXyGLoW,GENERAL,51
53,ygGcqeLCXUmggHkEMBCR,GENERAL,31
54,XUQoAYEiZYLpoGjqxfPG,GENERAL,15
55,WKproDXxeeWxEvmcoPXV,GENERAL,12
56,IhICMwzHuyGltUEWlofq,GENERAL,19
57,seGCOiChKnNPozcqFsjF,GENERAL,25
58,YAxEyboNcAsTcCANPujb,GENERAL,3
59,xfEQskaZdNxPQbPfSiSU,GENERAL,8
60,ZeMRKKNAMkiuGLzpdSSz,GENERAL,55
61,vJLWKzsnJSZqnhsskFVX,GENERAL,19
62,pYsxZyZQNntVyGSuWnyZ,GENERAL,50
63,ENwVuAMlgWzRmMBStMWz,GENERAL,19
64,cVpIATdqQGEAvlMhwVgf,GENERAL,19
65,OSObIQsNqEkezsNvdvSx,GENERAL,5
66,hqvCDSjngAzYndwxFMUf,GENERAL,34
67,CZyndreOoTfUxmgqBKQD,GENERAL,4
68,fRmzTmVkHPFgIlFLimpB,GENERAL,36
69,ydUQEgMUJTIcCXHnforw,GENERAL,31
70,aFGkLKXPFifOIrdOENaT,GENERAL,2
71,LwIcdsmhYHbisrFHlkoE,GENERAL,16
72,MjNdJHOfHSdhjgihidus,GENERAL,44
73,xfMCktiIWmTZHoPWWjVt,GENERAL,16
74,xgVuiVjuZFOKmpApHeKd,GENERAL,13
75,ukuNrsSJESuptEhnTrwV,GENERAL,33
76,whozqxQnZEnTgXWhPGVw,GENERAL,11
77,olyQSrBAyGRhNgTVVjlf,GENERAL,42
78,oBjUoAybubYUjEhLViav,GENERAL,28
79,kFLMLyDTywORWJrkgdya,GENERAL,59
80,UeryCuaLbBnUXzcGFYou,GENERAL,29
81,PCocdOkLkVgAlZtoqhMD,GENERAL,69
82,nannMlsNzNFTsUTlbowZ,GENERAL,14
83,swIYylfYxRoVkiSRCwEm,GENERAL,81
84,pCxueiNcnzCUWmBCIPty,GENERAL,63
85,jrVnSXpVDaEwpdrNbqBW,GENERAL,35
86,sQmksNUouzbwOxCGBYcG,GENERAL,26
87,SYJogilvGTJUzZxbFPYM,GENERAL,39
88,KfElNwZSihZyEmjLYBRx,GENERAL,1
89,KkQumcUxUTlfStRNebYj,GENERAL,31
90,xVCELuATVWSSduDMUMWp,GENERAL,40
91,rPQGcMzexHCYEjRhcnTF,GENERAL,11
92,fvavQJELcDMvjXMhcgvY,GENERAL,43
93,BpeLSysmrHEWwggjArCO,GENERAL,6
94,nVfKDngQfqkotudjTjqu,GENERAL,20
95,zNIUvENBpfrTGryzBQHR,GENERAL,31
96,dAJvHfBXJLsrMiVRXFlq,GENERAL,60
97,qSRIVKswBKyQKmvGSjAA,GENERAL,25
98,LvBiDgYPVCshSuQzkDkr,GENERAL,93
99,XzmCXhtdraZmXOyQzdBF,GENERAL,70
100,lOaoTQixUfVnZCfKwSNZ,GENERAL,24
101,ziZYASWcghkWAOdvrWoW,GENERAL,77
102,QLcTqPdFwSzftdiDKEfB,GENERAL,66
103,RCrHsyDVqRKELtXqMTiA,GENERAL,24
104,pnxIRvfjzPwBAJOntPmV,GENERAL,29
105,oFBKCuCoNGnyvpWbkeGA,GENERAL,1
106,EXWDDoGhrnQGlecKELzQ,GENERAL,81
107,nnWUnkmKynAEYNYjPRXs,GENERAL,23
108,IJeBiNIwWBGbptMvaMsM,GENERAL,22
109,RMtUVkpMaBvPxUxvedSm,GENERAL,12
110,bEMjMinsBhNsgUpvjdqN,GENERAL,64
111,lSSmwmUdCckGhPtlfAZf,GENERAL,60
112,UqjyEHICSeElzuhwqBSq,GENERAL,14
113,AvSrolSQKVGahphkbNiO,GENERAL,83
114,jgjtUjcUjVYrrndfevCe,GENERAL,80
115,VQQLvQKifUQdwPlDtvXK,GENERAL,112
116,eZZkZtIEjqqTfpYdaUtc,GENERAL,67
117,fPxXxKYsNrwdkvQvPUdq,GENERAL,46
118,YGbUoUmrtfFJywgvOGfb,GENERAL,113
119,VwsPJbnIQllSmKZqelmX,GENERAL,90
120,fXZrBRBJOICtoZGHgrhJ,GENERAL,4
121,ficfGMHmHqbemALKJVPX,GENERAL,84
122,tRgzvNQSmxiInlOfblhZ,GENERAL,42
123,gxCktHJfruPmmVnFMUmB,GENERAL,40
124,WZpSxxsKuGCbfrkAbkxd,GENERAL,83
125,muHBXVKqFUfFRIIhxmRn,GENERAL,18
126,EfUnTUdhHHITcohAHoAk,GENERAL,41
127,VXwakDFujwHLrKPqEPSu,GENERAL,40
128,CWMuShjpWIaxgaKaBokJ,GENERAL,20
129,xHitDrULVRabtyznKyJQ,GENERAL,15
130,ZRVwntqpOvMgOZQAICwa,GENERAL,74
131,zIcVemtbLCEqCDdbKWBN,GENERAL,53
132,oAhFLFcLYKjKvDVZioOL,GENERAL,82
133,jtGwIKQTkAqsoRAXnSGF,GENERAL,59
134,GOGpRgrLEDTFLRZUjYpg,GENERAL,112
135,jLVRkiaWDruNWKGgeHeA,GENERAL,10
136,YBdCrBGSraymWEBNRUTj,GENERAL,96
137,bBMLMCewJARDRpwEOSEb,GENERAL,123
138,LbPKsJxfVvClnaWBGYPh,GENERAL,112
139,VOnZeqoDZOldBxMVbSqj,GENERAL,63
140,MqoIztRpvAzKjIBcVByx,GENERAL,85
141,bAIRqzhctPFgbzTLOaLv,GENERAL,85
142,SwJxeCRrsnFRXaedTCVd,GENERAL,135
143,UNFuMXGulPptRMfDBUmV,GENERAL,88
144,FbHvoECOcUytKvkNafkr,GENERAL,105
145,ASmjAfFzRDQTuBoaJdva,GENERAL,26
146,UKjbYwLxYcafUcydEQgO,GENERAL,120
147,GUggtklULWtPAXnkaZoU,GENERAL,64
148,wKwKSOqLEmlMklcytEuO,GENERAL,68
149,nKrngTfSnJUwTbEOjMke,GENERAL,62
150,HpOrltouYZwpBesUkyGw,GENERAL,46
151,XSHaibeeELooVSmrtFep,GENERAL,99
152,srlFuSOriJylmvRjBXRe,GENERAL,109
153,wfjRRgmuucPUCbcwgNWg,GENERAL,18
154,kDhePifINoEVAGoLjaUB,GENERAL,59
155,VsaytYAhJJNcIJfIYaEC,GENERAL,125
156,AurkVQONqQSdQwkJPkbj,GENERAL,135
157,fYDKeRCsbWMzFhyweKnU,GENERAL,66
158,JuVbURGajkGwaOSFrgQZ,GENERAL,144
159,GDxkZEtiXvvmuhmiIrEe,GENERAL,84
160,VDFqFIiNXdtTKBlofIsc,GENERAL,37
161,SsuzMMEEoQyuWzARodCT,GENERAL,142
162,TANTucmIbbDAkWMaovis,GENERAL,29
163,rQPNFtENXZGioFuIhJKY,GENERAL,65
164,lRcUYtYzsLsYLskOksle,GENERAL,119
165,KnQupqBvAvUaRKxePBtx,GENERAL,53
166,KmIzaVMqIXetaqTFMJvU,GENERAL,160
167,TVAufVmGISNqGintmXuD,GENERAL,22
168,FHcbyVqqWREQrdZANzfR,GENERAL,114
169,hYBeOVGMzrRkshNmumtg,GENERAL,52
170,JFOfCWCFbSnYcvdNqopS,GENERAL,19
171,OdOeHCgZhfOIVAouzDDF,GENERAL,53
172,uXVeGcnUmLvGlnDcCsFE,GENERAL,165
173,CFbCgCeQOEqyeHASbeju,GENERAL,135
174,YEfIwdLAxawxQGsugamv,GENERAL,87
175,HYQOqwgaKMSKdHSGEkva,GENERAL,35
176,mvuiHjBGtkGQthnBIDpt,GENERAL,112
177,HcqKjjQJQFPwMFTmYxTx,GENERAL,121
178,XOsgJpRBbfFlfGzoKQoE,GENERAL,111
179,pTVhqUgOrDxxVNSxPXVS,GENERAL,92
180,OKjBZKoYbmbblNwhEtIL,GENERAL,178
181,oFhOoJZDPMicHKodlrTr,GENERAL,82
182,IJiOTngRuocMYejCfyMb,GENERAL,45
183,ksAfEGYDSssJysVmGCNr,GENERAL,116
184,tawmhvxOEuKpsnsIIDtl,GENERAL,44
185,gfEtDbYYpuCGCQLcpkSf,GENERAL,23
186,BsChZRTVWPoNCjVVfQrt,GENERAL,9
187,bkqSasgXDGWCiKKsOrNI,GENERAL,112
188,NlscMGveEHbLeHuQFcZu,GENERAL,100
189,GmyzjwNETJHxAAlUHhYZ,GENERAL,38
190,cpEdvBpjGRPvdrskUnrA,GENERAL,61
191,doCwdkWnqXDtaCgYfGls,GENERAL,98
192,XBDyZcyVLjHucYuKMVlx,GENERAL,136
193,oPQbZCtaUzGBIsTHQmlG,GENERAL,173
194,WxFjAAcJOrwsBYlqSuHo,GENERAL,122
195,KWvPlXKaJebjRCMdZwRs,GENERAL,190
196,XZohhZVocooyiSdupTnI,GENERAL,186
197,ZUeYMfhTeEVFrjgKCyEF,GENERAL,123
198,SgnkHcpRenWzCLUUBDzI,GENERAL,99
199,QiegsbVkxbDUHzSPpRXC,GENERAL,23
id,timestamp,type,hub_id
1,2023-04-22T12:18:58.537669Z,WATER_LEAK,1
2,2023-04-20T20:18:58.537892Z,GLASS_BREAK,1
3,2023-04-21T08:18:58.537920Z,MOTION_DETECTION,1
4,2023-04-22T03:18:58.537939Z,WATER_LEAK,2
5,2023-04-23T17:18:58.537955Z,SMOKE_OR_FIRE,4
6,2023-04-23T21:18:58.537967Z,MOTION_DETECTION,1
7,2023-04-22T21:18:58.537980Z,WATER_LEAK,5
8,2023-04-21T21:18:58.537992Z,MOTION_DETECTION,2
9,2023-04-21T23:18:58.538008Z,MOTION_DETECTION,2
10,2023-04-22T02:18:58.538021Z,WATER_LEAK,8
